Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
120542-103064,RB,Breece,Breece Hall,Hall,11.649999618530273,2,6900,NYJ@TB,NYJ,TB,,,,,,RB/FLEX
120542-167031,RB,Ashton,Ashton Jeanty,Jeanty,8.449999809265137,2,6800,LV@WAS,LV,WAS,,,,,,RB/FLEX
120542-73048,WR,DK,DK Metcalf,Metcalf,9.899999618530273,2,6800,PIT@NE,PIT,NE,,,,,,WR/FLEX
120542-60840,QB,Jake,Jake Browning,Browning,20.739999771118164,1,6800,CIN@MIN,CIN,MIN,,,,,,QB
120542-88797,QB,Michael,Michael Penix Jr.,Penix Jr.,14.65999984741211,2,6800,ATL@CAR,ATL,CAR,,,,,,QB
120542-87467,RB,Chuba,Chuba Hubbard,Hubbard,16.299999237060547,2,6700,ATL@CAR,CAR,ATL,,,,,,RB/FLEX
120542-129471,QB,C.J.,C.J. Stroud,Stroud,12.350000381469727,2,6700,HOU@JAC,HOU,JAC,,,,,,QB
120542-90584,QB,Mac,Mac Jones,Jones,21.760000228881836,1,6700,ARI@SF,SF,ARI,,,,,,QB
120542-85607,QB,Brock,Brock Purdy,Purdy,18.780000686645508,1,6700,ARI@SF,SF,ARI,O,Toe,,,,QB
120542-56018,WR,Deebo,Deebo Samuel Sr.,Samuel Sr.,16.5,2,6700,LV@WAS,WAS,LV,,,,,,WR/FLEX
120542-119606,QB,Bryce,Bryce Young,Young,17.739999771118164,2,6600,ATL@CAR,CAR,ATL,,,,,,QB
120542-103342,RB,Kenneth,Kenneth Walker III,Walker III,12.600000381469727,2,6600,NO@SEA,SEA,NO,,,,,,RB/FLEX
120542-56250,WR,Terry,Terry McLaurin,McLaurin,5.5,2,6600,LV@WAS,WAS,LV,,,,,,WR/FLEX
120542-111557,QB,Spencer,Spencer Rattler,Rattler,16.56999969482422,2,6600,NO@SEA,NO,SEA,,,,,,QB
120542-14377,QB,Tyrod,Tyrod Taylor,Taylor,8.34000015258789,1,6500,NYJ@TB,NYJ,TB,,,,,,QB
120542-57403,WR,Courtland,Courtland Sutton,Sutton,8.100000381469727,2,6500,DEN@LAC,DEN,LAC,,,,,,WR/FLEX
120542-91598,RB,D'Andre,D'Andre Swift,Swift,10.199999809265137,2,6500,DAL@CHI,CHI,DAL,,,,,,RB/FLEX
120542-160303,TE,Tucker,Tucker Kraft,Kraft,16.649999618530273,2,6500,GB@CLE,GB,CLE,,,,,,TE/FLEX
120542-6714,QB,Joe,Joe Flacco,Flacco,11.979999542236328,2,6500,GB@CLE,CLE,GB,,,,,,QB
120542-152651,WR,Marvin,Marvin Harrison Jr.,Harrison Jr.,9.649999618530273,2,6400,ARI@SF,ARI,SF,,,,,,WR/FLEX
120542-120033,WR,Rome,Rome Odunze,Odunze,22,2,6400,DAL@CHI,CHI,DAL,,,,,,WR/FLEX
120542-168356,QB,Cam,Cam Ward,Ward,6.139999866485596,2,6400,IND@TEN,TEN,IND,,,,,,QB
120542-87787,RB,J.K.,J.K. Dobbins,Dobbins,14.399999618530273,2,6400,DEN@LAC,DEN,LAC,,,,,,RB/FLEX
120542-152655,WR,Emeka,Emeka Egbuka,Egbuka,16.25,2,6300,NYJ@TB,TB,NYJ,,,,,,WR/FLEX
120542-40442,RB,Aaron,Aaron Jones Sr.,Jones Sr.,8.25,2,6300,CIN@MIN,MIN,CIN,Q,Hamstring,,,,RB/FLEX
120542-63043,WR,DJ,DJ Moore,Moore,7.099999904632568,2,6300,DAL@CHI,CHI,DAL,,,,,,WR/FLEX
120542-63634,WR,Jakobi,Jakobi Meyers,Meyers,11.75,2,6200,LV@WAS,LV,WAS,,,,,,WR/FLEX
120542-112057,RB,Jaylen,Jaylen Warren,Warren,14.149999618530273,2,6200,PIT@NE,PIT,NE,,,,,,RB/FLEX
120542-110246,WR,George,George Pickens,Pickens,9.899999618530273,2,6200,DAL@CHI,DAL,CHI,,,,,,WR/FLEX
120542-63759,RB,Tony,Tony Pollard,Pollard,8.300000190734863,2,6100,IND@TEN,TEN,IND,,,,,,RB/FLEX
120542-90576,WR,DeVonta,DeVonta Smith,Smith,5.199999809265137,2,6100,LAR@PHI,PHI,LAR,,,,,,WR/FLEX
120542-87770,WR,Chris,Chris Olave,Olave,8.649999618530273,2,6100,NO@SEA,NO,SEA,,,,,,WR/FLEX
120542-86081,QB,Emory,Emory Jones,Jones,,0,6000,ATL@CAR,ATL,CAR,IR,Concussion,,,,QB
120542-152646,QB,Kyle,Kyle McCord,McCord,,0,6000,LAR@PHI,PHI,LAR,,,,,,QB
120542-52342,QB,Will,Will Grier,Grier,,0,6000,DAL@CHI,DAL,CHI,,,,,,QB
120542-104576,QB,Sam,Sam Howell,Howell,0.07999999821186066,2,6000,LAR@PHI,PHI,LAR,,,,,,QB
120542-174215,RB,Omarion,Omarion Hampton,Hampton,5.050000190734863,2,6000,DEN@LAC,LAC,DEN,,,,,,RB/FLEX
120542-61593,WR,Jauan,Jauan Jennings,Jennings,10,2,6000,ARI@SF,SF,ARI,Q,Ankle,,,,WR/FLEX
120542-103591,QB,Graham,Graham Mertz,Mertz,,0,6000,HOU@JAC,HOU,JAC,,,,,,QB
120542-149696,QB,Trey,Trey Lance,Lance,2.7479999542236326,5,6000,DEN@LAC,LAC,DEN,,,,,,QB
120542-93382,QB,Aidan,Aidan O'Connell,O'Connell,11.164444817437065,9,6000,LV@WAS,LV,WAS,IR,Wrist,,,,QB
120542-45259,QB,Logan,Logan Woodside,Woodside,,0,6000,PIT@NE,PIT,NE,,,,,,QB
120542-152787,QB,Seth,Seth Henigan,Henigan,,0,6000,HOU@JAC,JAC,HOU,,,,,,QB
120542-86243,QB,Will,Will Levis,Levis,10.995000203450521,12,6000,IND@TEN,TEN,IND,IR,Shoulder,,,,QB
120542-91390,QB,Joe,Joe Milton III,Milton III,9.619999885559082,2,6000,DAL@CHI,DAL,CHI,,,,,,QB
120542-103698,QB,Dillon,Dillon Gabriel,Gabriel,4.760000228881836,1,6000,GB@CLE,CLE,GB,,,,,,QB
120542-129315,QB,Anthony,Anthony Richardson Sr.,Richardson Sr.,15.896363691850143,11,6000,IND@TEN,IND,TEN,,,,,,QB
120542-120105,QB,Will,Will Howard,Howard,,0,6000,PIT@NE,PIT,NE,IR,Hand,,,,QB
120542-54604,QB,Jimmy,Jimmy Garoppolo,Garoppolo,11.930000305175781,2,6000,LAR@PHI,LAR,PHI,,,,,,QB
120542-88431,QB,Tyler,Tyler Shough,Shough,,0,6000,NO@SEA,NO,SEA,,,,,,QB
120542-92560,QB,Sam,Sam Ehlinger,Ehlinger,0,1,6000,DEN@LAC,DEN,LAC,,,,,,QB
120542-103824,QB,Easton,Easton Stick,Stick,,0,6000,ATL@CAR,ATL,CAR,,,,,,QB
120542-110000,QB,Connor,Connor Bazelak,Bazelak,,0,6000,NYJ@TB,TB,NYJ,,,,,,QB
120542-185776,QB,Tyson,Tyson Bagent,Bagent,1.7799999713897705,1,6000,DAL@CHI,CHI,DAL,,,,,,QB
120542-91583,QB,Stetson,Stetson Bennett IV,Bennett IV,0,1,6000,LAR@PHI,LAR,PHI,,,,,,QB
120542-31170,QB,Brandon,Brandon Allen,Allen,2.7866665522257485,3,6000,IND@TEN,TEN,IND,,,,,,QB
120542-22994,QB,Case,Case Keenum,Keenum,,0,6000,DAL@CHI,CHI,DAL,,,,,,QB
120542-40407,QB,Joshua,Joshua Dobbs,Dobbs,11.946666717529297,3,6000,PIT@NE,NE,PIT,,,,,,QB
120542-53729,QB,Mason,Mason Rudolph,Rudolph,0.47999998927116394,1,6000,PIT@NE,PIT,NE,,,,,,QB
120542-33259,QB,Teddy,Teddy Bridgewater,Bridgewater,0.11999999731779099,1,6000,NYJ@TB,TB,NYJ,,,,,,QB
120542-134655,QB,Hunter,Hunter Dekkers,Dekkers,,0,6000,NO@SEA,NO,SEA,,,,,,QB
120542-89607,QB,Tanner,Tanner McKee,McKee,7.204999923706055,4,6000,LAR@PHI,PHI,LAR,Q,Thumb,,,,QB
120542-60947,QB,Jarrett,Jarrett Stidham,Stidham,0.16666666666666666,3,6000,DEN@LAC,DEN,LAC,,,,,,QB
120542-102933,QB,Kedon,Kedon Slovis,Slovis,,0,6000,ARI@SF,ARI,SF,,,,,,QB
120542-22038,QB,Kirk,Kirk Cousins,Cousins,14.380000523158483,14,6000,ATL@CAR,ATL,CAR,,,,,,QB
120542-30231,QB,Jacoby,Jacoby Brissett,Brissett,0.20000000298023224,1,6000,ARI@SF,ARI,SF,,,,,,QB
120542-89628,QB,Davis,Davis Mills,Mills,1.596666653951009,6,6000,HOU@JAC,HOU,JAC,,,,,,QB
120542-94748,QB,Tommy,Tommy DeVito,DeVito,6.739999771118164,2,6000,PIT@NE,NE,PIT,,,,,,QB
120542-87594,QB,Sam,Sam Hartman,Hartman,,0,6000,LV@WAS,WAS,LV,,,,,,QB
120542-30253,QB,Jeff,Jeff Driskel,Driskel,0,1,6000,LV@WAS,LV,WAS,,,,,,QB
120542-64051,QB,Drew,Drew Lock,Lock,12.591428484235491,7,6000,NO@SEA,SEA,NO,,,,,,QB
120542-29253,WR,Keenan,Keenan Allen,Allen,15.449999809265137,2,6000,DEN@LAC,LAC,DEN,,,,,,WR/FLEX
120542-208467,QB,Cam,Cam Miller,Miller,,0,6000,LV@WAS,LV,WAS,,,,,,QB
120542-41562,QB,Nick,Nick Mullens,Mullens,0.33000001311302185,4,6000,HOU@JAC,JAC,HOU,,,,,,QB
